Job Title,Industry,Job Status,AI Impact Level,Median Salary (USD),Required Education,Experience Required (Years),Job Openings (2024),Projected Openings (2030),Remote Work Ratio (%),Automation Risk (%),Location,Gender Diversity (%),predicted_risk,pred_high_risk_prob,actual_risk_category
"Conservator, museum/gallery",Retail,Increasing,Moderate,68394.0,PhD,2,198,7314,48.49,90.16,USA,46.45,2,0.6009838339758956,2
Theatre manager,Education,Decreasing,Moderate,41889.02,PhD,0,819,874,20.01,62.04,Brazil,74.52,2,0.600964381126436,2
"Conservator, museum/gallery",IT,Decreasing,Moderate,139533.39,Associate Degree,10,6723,5232,1.58,84.65,Germany,48.08,2,0.6009495869181694,2
Tax adviser,Entertainment,Decreasing,Low,46014.0,PhD,6,6586,5505,96.13,62.72,USA,74.04,2,0.600908062915748,2
Toxicologist,Healthcare,Increasing,Low,75578.37,Bachelor’s Degree,0,3678,4207,9.75,66.46,USA,55.24,2,0.6009074245360564,2
"Production assistant, radio",Manufacturing,Increasing,High,124439.75,PhD,0,3713,4985,47.23,71.97,Australia,79.19,2,0.6008886274650528,2
Phytotherapist,Healthcare,Increasing,Low,30256.29,PhD,5,2118,2010,76.05,91.51,Germany,71.07,2,0.6008702290540356,2
Geographical information systems officer,Healthcare,Decreasing,Low,43129.74,High School,1,8207,9016,60.68,87.48,China,69.93,2,0.6008597119271308,2
"Engineer, petroleum",Transportation,Increasing,High,121144.44,Master’s Degree,20,7654,9022,7.64,86.9,USA,39.46,2,0.6008162125458386,2
"Engineer, land",Healthcare,Increasing,Moderate,107897.86,Master’s Degree,0,6465,6926,82.0,63.86,Australia,31.64,2,0.6007329975837568,2
Orthoptist,Transportation,Decreasing,Low,41753.49,Associate Degree,9,4182,1439,76.95,94.46,UK,47.42,2,0.6006883652691462,2
Child psychotherapist,IT,Decreasing,Low,148716.14,High School,17,7148,6470,37.99,48.4,China,22.11,2,0.6006844490039487,1
Senior tax professional/tax inspector,IT,Increasing,Moderate,133155.54,PhD,9,8021,7055,56.83,70.76,Canada,61.27,2,0.6006397411397227,2
Newspaper journalist,Entertainment,Decreasing,High,121930.59,Bachelor’s Degree,0,8179,1972,95.37,87.25,Australia,70.81,2,0.6005280729596629,2
Public house manager,Manufacturing,Decreasing,Moderate,139640.05,Bachelor’s Degree,2,6055,8657,53.31,78.55,Brazil,64.38,2,0.6005157597101818,2
Interior and spatial designer,Healthcare,Decreasing,Moderate,100885.15,PhD,0,9330,7514,37.87,62.71,Canada,60.9,2,0.6005126025999628,2
Arboriculturist,IT,Increasing,Low,129405.19,High School,14,7490,176,78.74,69.92,Canada,39.24,2,0.60051174359675,2
Retail manager,Transportation,Decreasing,High,96307.11,Associate Degree,8,3216,3438,26.69,61.48,India,63.48,2,0.6004608412434219,2
"Engineer, water",Transportation,Decreasing,High,66368.96,Associate Degree,17,1633,1604,56.88,62.92,India,55.81,2,0.6004417888086723,2
Speech and language therapist,Entertainment,Increasing,High,41676.22,Master’s Degree,12,8790,5353,24.1,96.75,Brazil,53.78,2,0.6003386822599648,2
Logistics and distribution manager,Manufacturing,Decreasing,Low,61149.72,Associate Degree,18,2183,7076,55.69,93.25,UK,49.51,2,0.6003333233154653,2
Museum education officer,Finance,Increasing,High,137839.09,Master’s Degree,5,6255,7343,6.86,70.99,Brazil,31.1,2,0.6003266678864807,2
"Designer, interior/spatial",Retail,Increasing,Low,137827.24,PhD,16,4908,8527,47.07,97.81,Canada,46.81,2,0.6001792851813192,2
Quarry manager,Entertainment,Decreasing,Moderate,111242.14,Master’s Degree,1,5103,3669,63.27,46.47,India,77.97,2,0.6001741306838712,1
Careers adviser,Transportation,Decreasing,High,133865.98,Bachelor’s Degree,11,8440,6784,31.53,69.54,USA,20.98,2,0.6001206032574055,2
Energy engineer,Retail,Decreasing,Low,104659.29,High School,17,9819,9740,93.88,67.0,China,43.01,2,0.6001098003467501,2
Field seismologist,Education,Increasing,Moderate,41245.67,High School,9,4925,9992,44.53,70.77,Brazil,41.17,2,0.6000955900005385,2
"Administrator, education",Entertainment,Increasing,Moderate,65344.25,Associate Degree,15,5342,5848,49.3,88.56,USA,28.89,2,0.6000712019709108,2
"Designer, multimedia",Retail,Increasing,High,94406.16,Master’s Degree,17,506,3430,68.4,26.65,Brazil,49.69,2,0.6000698669326332,0
Marine scientist,Retail,Decreasing,Low,115066.44,High School,17,1360,4575,28.67,65.71,China,78.52,2,0.6000380644555817,2
"Administrator, sports",Entertainment,Decreasing,High,101917.09,High School,7,724,7559,10.45,73.51,Canada,31.09,2,0.6000317866754272,2
Architectural technologist,Transportation,Decreasing,High,59436.28,High School,13,4686,8218,67.68,95.69,Canada,35.31,2,0.6000042965141716,2
"Engineer, mining",Healthcare,Decreasing,High,131913.21,Bachelor’s Degree,14,887,6518,44.92,96.7,Brazil,22.19,2,0.5999962156307971,2
Fisheries officer,Healthcare,Decreasing,Low,49448.57,PhD,17,9075,7851,41.89,20.82,UK,45.09,2,0.5999724059851584,0
"Engineer, maintenance",Retail,Decreasing,High,133125.02,Master’s Degree,1,2117,4758,27.31,82.14,Canada,42.58,2,0.5999587063064331,2
Magazine features editor,Entertainment,Increasing,Moderate,75683.5,PhD,13,7545,7639,76.38,76.45,USA,79.63,2,0.5999520346718656,2
"Teacher, English as a foreign language",Transportation,Decreasing,Low,31493.86,High School,19,4818,7119,8.08,84.83,China,52.38,2,0.5999498093214891,2
Associate Professor,Healthcare,Decreasing,Moderate,33307.64,High School,20,1012,579,80.04,88.66,Canada,27.43,2,0.5998303638004161,2
Biomedical engineer,Finance,Decreasing,High,85429.48,PhD,17,1809,7929,91.56,90.09,Brazil,29.68,2,0.5997903377654954,2
Dancer,IT,Increasing,Moderate,138930.49,Associate Degree,15,6840,5948,92.9,58.7,UK,20.76,2,0.5997130212743471,1
"Surveyor, building control",Entertainment,Decreasing,High,38893.01,Bachelor’s Degree,18,9808,828,20.3,86.11,UK,30.26,2,0.5997046372606846,2
Leisure centre manager,Entertainment,Increasing,Low,136168.23,PhD,12,3889,7806,87.04,92.61,Canada,44.01,2,0.599623114673613,2
Charity officer,Manufacturing,Decreasing,High,140911.63,High School,15,4570,6972,37.23,60.88,China,47.75,2,0.5995874968861782,2
Armed forces technical officer,Healthcare,Decreasing,Low,42988.88,Bachelor’s Degree,19,616,364,46.11,91.11,Canada,28.99,2,0.5995778046433198,2
Publishing copy,Finance,Decreasing,Low,107766.76,High School,6,4415,681,2.4,93.4,Germany,52.5,2,0.5995633447336121,2
Operations geologist,Manufacturing,Decreasing,Moderate,119730.72,Master’s Degree,5,6534,7722,42.5,69.21,China,34.47,2,0.5995478608808613,2
"Journalist, magazine",Entertainment,Decreasing,High,99143.73,Master’s Degree,3,2447,1397,10.37,66.1,USA,54.84,2,0.599520695440814,2
IT technical support officer,Finance,Decreasing,High,142147.4,Bachelor’s Degree,4,6846,3055,7.66,84.41,Germany,41.58,2,0.5995141077992587,2
"Horticulturist, commercial",Manufacturing,Decreasing,Moderate,110462.16,Associate Degree,12,1287,948,2.04,95.97,Germany,68.25,2,0.5995055420136541,2
"Research officer, government",Entertainment,Decreasing,Low,43534.86,PhD,12,791,8696,20.74,90.23,USA,62.92,2,0.5994955617365204,2
"Engineer, water",Entertainment,Decreasing,High,138780.92,Master’s Degree,18,6715,5367,65.47,93.04,USA,44.99,2,0.5994837906442886,2
Oncologist,Entertainment,Increasing,Low,41757.58,PhD,15,9625,7173,51.09,78.5,UK,66.11,2,0.5994739799403873,2
Forest/woodland manager,Retail,Increasing,Moderate,48580.68,Master’s Degree,1,8310,8908,18.61,60.25,Australia,39.45,2,0.5994451841619576,2
Museum/gallery conservator,Healthcare,Decreasing,Moderate,80085.09,Associate Degree,6,6807,6565,99.26,91.08,Australia,20.75,2,0.5994145151088739,2
Ranger/warden,Transportation,Decreasing,Moderate,89709.66,PhD,0,5476,3628,50.01,98.0,USA,42.02,2,0.5994083179235743,2
Freight forwarder,Finance,Decreasing,High,94751.26,Master’s Degree,8,7544,4016,86.93,85.09,Germany,49.27,2,0.5993293080584783,2
Radio broadcast assistant,Manufacturing,Increasing,High,32163.54,Associate Degree,20,2706,8544,44.87,76.36,Germany,75.49,2,0.5993227928290272,2
Textile designer,Finance,Decreasing,Moderate,51378.19,PhD,12,540,2874,41.52,94.16,India,56.49,2,0.5992663698340029,2
Occupational hygienist,Transportation,Decreasing,Low,145729.22,Master’s Degree,4,9758,2920,82.71,81.45,India,68.56,2,0.5992617160954044,2
Landscape architect,IT,Increasing,Moderate,35329.91,Associate Degree,20,5009,8119,80.1,77.5,Brazil,38.04,2,0.5992474146709944,2
IT trainer,Retail,Decreasing,Moderate,84210.22,Associate Degree,5,7627,2819,6.34,5.15,Brazil,34.62,2,0.5992129407093167,0
Contracting civil engineer,IT,Increasing,Low,112738.58,Bachelor’s Degree,3,6121,2076,9.12,96.37,UK,73.8,2,0.599178738606434,2
"Teacher, adult education",Education,Increasing,High,66636.24,Bachelor’s Degree,14,5578,8129,93.86,95.71,Germany,27.67,2,0.5990894818314839,2
Seismic interpreter,IT,Increasing,Low,108281.55,PhD,12,433,6810,46.79,73.61,China,73.74,2,0.5990882830602388,2
"Exhibitions officer, museum/gallery",Manufacturing,Increasing,High,130789.04,Associate Degree,12,6194,8004,79.99,92.35,India,79.12,2,0.599081855400238,2
"Engineer, electronics",Manufacturing,Decreasing,Low,54568.59,High School,20,7249,7260,37.41,95.97,Australia,32.49,2,0.5990499220015587,2
Forensic psychologist,Healthcare,Decreasing,High,117221.32,Master’s Degree,9,1449,5419,46.5,82.03,USA,47.22,2,0.5989941725629111,2
Hospital doctor,IT,Decreasing,Moderate,132556.53,Associate Degree,2,8163,1413,59.13,77.73,Germany,58.74,2,0.5989677528768288,2
Clinical molecular geneticist,Education,Increasing,Low,36281.47,High School,15,4636,6504,97.3,73.41,Canada,74.07,2,0.5989420716661816,2
Mudlogger,Manufacturing,Increasing,Low,142420.59,High School,7,8276,142,57.67,67.23,Canada,55.98,2,0.5989319133960591,2
Media buyer,Manufacturing,Decreasing,Low,95364.56,Associate Degree,12,2567,4160,67.86,64.78,India,51.23,2,0.5989171216620107,2
Publishing copy,Transportation,Increasing,Moderate,49082.06,Master’s Degree,5,5229,8288,9.04,67.05,Brazil,35.69,2,0.5988864420820027,2
Product designer,Transportation,Increasing,Moderate,53585.97,Associate Degree,20,8944,4167,65.31,64.16,China,44.65,2,0.5988254585840359,2
"Nurse, learning disability",Manufacturing,Increasing,High,66935.22,PhD,7,5835,4213,49.56,62.26,Germany,79.92,2,0.5988161793876446,2
"Editor, magazine features",Manufacturing,Increasing,High,124370.74,Master’s Degree,5,8729,3893,6.12,91.07,Canada,48.05,2,0.5988073478532785,2
"Scientist, research (medical)",Transportation,Increasing,Moderate,118885.4,Associate Degree,5,6357,9728,65.84,98.1,Canada,77.96,2,0.5987978184493487,2
Special effects artist,Entertainment,Decreasing,Low,32127.11,Bachelor’s Degree,7,2355,930,36.29,93.3,UK,20.82,2,0.5986885714212814,2
"Production assistant, television",Healthcare,Decreasing,Low,105856.18,Associate Degree,20,4086,1094,15.24,60.82,Canada,43.13,2,0.598685717475985,2
Operational researcher,Finance,Increasing,Low,95259.35,High School,16,9527,261,95.89,66.07,Canada,52.89,2,0.5986584353921746,2
Press sub,Finance,Increasing,Low,59659.98,Associate Degree,1,3259,246,0.22,67.69,USA,37.13,2,0.5986107361698723,2
Planning and development surveyor,Transportation,Increasing,Moderate,82448.38,Associate Degree,10,6799,710,32.66,94.01,USA,54.55,2,0.5986098214623424,2
Hospital pharmacist,Education,Decreasing,Low,94326.27,PhD,20,4328,8085,96.69,49.72,India,75.84,2,0.5986051939561893,1
Retail banker,Education,Decreasing,High,133216.09,Master’s Degree,2,7192,6912,86.6,79.51,Brazil,31.92,2,0.5984652525105707,2
Chartered accountant,Finance,Increasing,Moderate,147424.5,Master’s Degree,9,8135,8339,68.06,26.42,USA,34.21,2,0.5984509715483876,0
Ceramics designer,IT,Increasing,Moderate,40346.01,Master’s Degree,4,8261,8651,32.52,92.03,USA,45.3,2,0.598402507781222,2
Actuary,Education,Decreasing,Low,138162.26,PhD,16,9358,4541,80.96,81.16,Germany,27.27,2,0.5983835023290576,2
Operational investment banker,Transportation,Decreasing,Moderate,119619.38,High School,13,4560,3309,91.83,79.71,UK,46.39,2,0.5983630409909105,2
"Loss adjuster, chartered",Transportation,Increasing,Low,73389.69,Associate Degree,18,9140,1611,63.07,42.43,India,28.81,2,0.5983181154911241,1
Counsellor,Finance,Increasing,Low,70968.19,Master’s Degree,12,6745,9898,61.12,91.75,Brazil,38.62,2,0.5983129260302713,2
General practice doctor,Finance,Decreasing,High,121963.64,Master’s Degree,6,9580,5260,7.32,74.09,China,45.36,2,0.5983011224885645,2
Stage manager,Healthcare,Increasing,Low,75828.02,Associate Degree,18,1630,1914,80.22,93.11,Canada,47.81,2,0.5982886385811532,2
Site engineer,Transportation,Increasing,High,71936.07,PhD,18,7414,636,73.67,77.26,India,50.78,2,0.5982604331696638,2
Art gallery manager,IT,Increasing,Moderate,90456.4,High School,5,8394,9797,16.61,63.66,India,29.49,2,0.5982299453718328,2
Radio producer,Manufacturing,Decreasing,Moderate,32679.01,Master’s Degree,4,1093,9281,7.65,91.22,Brazil,44.26,2,0.5981811635283049,2
Speech and language therapist,Retail,Increasing,Moderate,67565.28,Associate Degree,18,6665,9237,51.32,83.3,UK,58.9,2,0.5981772357288389,2
Financial trader,Healthcare,Increasing,Moderate,41930.05,High School,20,1686,7218,95.23,65.24,UK,24.64,2,0.598167524760852,2
Administrator,Transportation,Decreasing,High,40516.62,Master’s Degree,18,6774,1175,8.51,64.13,USA,57.93,2,0.598160717849815,2
Chief Financial Officer,Healthcare,Increasing,Low,42643.17,High School,20,8329,1321,70.22,62.74,Canada,71.44,2,0.5981265418731979,2
Furniture designer,Retail,Decreasing,Moderate,43992.75,Bachelor’s Degree,4,5570,466,61.69,82.74,Brazil,42.17,2,0.5981113144891922,2
Trade union research officer,Education,Decreasing,Moderate,63027.52,High School,8,3032,3545,33.63,77.52,Canada,68.5,2,0.5980608019144139,2
Museum/gallery curator,Finance,Increasing,Low,106597.02,PhD,19,1266,4249,67.21,95.64,China,21.08,2,0.5980295462571306,2
"Pharmacist, hospital",Manufacturing,Increasing,High,33729.96,Master’s Degree,13,3329,593,27.52,76.77,India,76.37,2,0.5979982413478491,2
Medical technical officer,Healthcare,Decreasing,High,62680.98,Bachelor’s Degree,17,563,6810,16.3,78.5,UK,57.39,2,0.5979799972577721,2
Outdoor activities/education manager,Manufacturing,Decreasing,Low,144900.56,Bachelor’s Degree,3,8604,8329,29.17,68.54,Canada,23.46,2,0.597924338518152,2
Building services engineer,Finance,Increasing,Moderate,116873.91,PhD,7,6034,8264,15.67,74.87,Germany,41.02,2,0.5979118247301415,2
Biomedical scientist,IT,Decreasing,High,44748.52,PhD,20,7966,1286,2.23,77.6,UK,65.08,2,0.5978955444074435,2
Print production planner,IT,Decreasing,Moderate,104973.39,Master’s Degree,9,9913,3006,71.0,87.33,UK,55.32,2,0.5978563854747583,2
Quarry manager,Finance,Increasing,High,60229.33,Master’s Degree,19,6127,1084,15.3,83.32,China,43.46,2,0.5978546269185604,2
Chief Financial Officer,Healthcare,Decreasing,High,76944.21,PhD,13,4725,5429,63.08,76.34,India,26.9,2,0.5977704496221463,2
"Geologist, wellsite",Finance,Increasing,Moderate,128624.96,Bachelor’s Degree,20,2716,8330,42.45,78.3,India,77.8,2,0.5977162933152845,2
"Exhibitions officer, museum/gallery",Healthcare,Increasing,High,36935.43,Master’s Degree,17,8792,1886,82.25,73.37,China,31.45,2,0.5976613419752869,2
Recruitment consultant,Education,Increasing,Moderate,55504.02,Master’s Degree,18,2030,8072,3.74,99.79,China,35.67,2,0.5975738181295155,2
"Production designer, theatre/television/film",Finance,Decreasing,Low,129216.16,High School,0,4090,2788,28.08,98.79,India,79.78,2,0.5975571153323702,2
Art gallery manager,Manufacturing,Decreasing,Low,92414.4,PhD,3,9909,5471,41.67,76.35,Australia,29.5,2,0.5975544212311505,2
Commercial horticulturist,Entertainment,Decreasing,Low,117925.6,Master’s Degree,0,4629,5680,81.41,88.73,China,22.05,2,0.5975205760866646,2
Interpreter,IT,Decreasing,Low,140481.58,Bachelor’s Degree,1,8121,1320,21.34,60.54,Australia,43.96,2,0.5974856763583362,2
"Accountant, chartered certified",Retail,Increasing,Low,55860.6,Master’s Degree,17,5222,5199,97.06,98.03,USA,33.07,2,0.5974702689135163,2
Surgeon,IT,Decreasing,Moderate,146652.54,PhD,2,1976,6340,39.27,82.03,India,45.56,2,0.5974590503080524,2
Interpreter,Education,Decreasing,High,93908.37,PhD,1,6827,832,47.52,84.4,USA,38.05,2,0.5974372212968946,2
"Engineer, civil (consulting)",Transportation,Decreasing,Low,51603.73,Bachelor’s Degree,10,5468,5849,89.71,68.83,China,74.0,2,0.5973926962221277,2
Interior and spatial designer,IT,Increasing,High,133265.23,PhD,11,685,8511,45.78,61.0,UK,51.76,2,0.5972918097431714,2
Armed forces training and education officer,Healthcare,Decreasing,High,120619.72,High School,13,2048,786,80.68,74.71,India,58.1,2,0.5972805498392602,2
Retail manager,Finance,Increasing,High,147775.21,Master’s Degree,9,7653,4512,42.24,27.61,Australia,25.54,2,0.5972172493517959,0
"Psychologist, forensic",Finance,Increasing,Moderate,34381.06,Associate Degree,19,4218,6865,2.0,54.92,Australia,20.16,2,0.5972143488044712,1
Product/process development scientist,Retail,Increasing,High,130697.26,PhD,8,6934,9499,98.95,78.27,Germany,37.21,2,0.5972127891771939,2
Mining engineer,Transportation,Increasing,Moderate,149990.73,High School,14,5043,5800,95.39,79.99,UK,63.95,2,0.5971965902659514,2
Orthoptist,Retail,Decreasing,Low,49133.49,High School,11,724,9803,46.7,97.2,USA,67.01,2,0.5971711407724564,2
"Editor, commissioning",Healthcare,Decreasing,Moderate,73630.8,Bachelor’s Degree,3,371,5847,97.3,89.48,India,35.07,2,0.5971706195861174,2
Advertising art director,Transportation,Increasing,Low,147976.77,Associate Degree,18,3350,4479,39.38,85.34,UK,36.75,2,0.5971497174810577,2
Advertising art director,IT,Increasing,Low,79021.02,High School,20,3167,7294,38.38,96.55,Brazil,29.95,2,0.5971175712238669,2
Sports therapist,Finance,Decreasing,Moderate,85186.3,High School,7,5107,8573,89.43,84.02,UK,44.5,2,0.5970476607295175,2
Nature conservation officer,Transportation,Increasing,High,114611.34,High School,17,1804,3047,42.29,77.72,USA,59.26,2,0.5970067948132531,2
Pharmacologist,Education,Increasing,Moderate,105107.87,Bachelor’s Degree,6,177,8056,44.92,72.7,Brazil,38.83,2,0.5969601964955589,2
Manufacturing systems engineer,IT,Increasing,Moderate,31389.96,High School,18,3515,6830,56.27,61.68,Australia,58.04,2,0.5968888286609525,2
Art gallery manager,Finance,Decreasing,Moderate,45813.5,Master’s Degree,19,2929,929,42.52,78.48,India,20.61,2,0.5968660382436811,2
"Psychologist, counselling",Retail,Decreasing,Low,144737.35,PhD,11,8132,7026,54.77,69.13,UK,49.22,2,0.5968559222063446,2
Psychotherapist,Finance,Increasing,Moderate,117711.88,High School,15,8521,9831,79.21,72.34,Canada,78.93,2,0.5967967287690246,2
Medical laboratory scientific officer,Retail,Increasing,Low,34717.27,Associate Degree,14,5197,7563,82.74,2.69,Canada,73.1,2,0.5967458160280946,0
"Teacher, adult education",Healthcare,Decreasing,Moderate,105371.68,Associate Degree,9,8446,5140,83.67,84.06,UK,22.63,2,0.596701141378565,2
Broadcast engineer,Manufacturing,Decreasing,Low,133770.35,Master’s Degree,0,1581,1821,96.13,98.88,China,79.3,2,0.5966544283921394,2
IT consultant,Transportation,Decreasing,Moderate,145202.1,Associate Degree,9,521,685,96.64,91.38,UK,51.31,2,0.5966186383544534,2
"Doctor, hospital",Transportation,Increasing,Low,72709.31,Bachelor’s Degree,13,8431,3302,37.13,87.8,Canada,70.31,2,0.5965992243306767,2
Radiation protection practitioner,Healthcare,Decreasing,High,53050.35,Bachelor’s Degree,19,3685,8065,49.2,93.59,UK,47.05,2,0.5965578371306116,2
Waste management officer,IT,Increasing,High,88734.33,PhD,18,3061,6414,89.39,98.45,USA,40.02,2,0.596540111948174,2
"Teacher, early years/pre",Finance,Decreasing,Moderate,146696.08,Bachelor’s Degree,10,7519,2746,21.07,58.05,Germany,64.57,2,0.5965262014367443,1
Chief Operating Officer,Manufacturing,Increasing,High,85949.37,PhD,17,7782,4073,64.46,84.93,India,78.35,2,0.5965058522002086,2
Office manager,Finance,Decreasing,High,36987.21,PhD,17,9355,6177,73.36,66.65,Australia,28.81,2,0.5964542734746575,2
Quarry manager,Entertainment,Increasing,High,49926.45,PhD,11,4256,4481,89.16,56.94,Canada,58.82,2,0.5964102181170152,1
Investment analyst,Transportation,Decreasing,High,35731.54,Bachelor’s Degree,17,5408,2406,78.87,88.13,Canada,23.96,2,0.5963907688451744,2
"Surveyor, hydrographic",Finance,Decreasing,Moderate,81680.76,Master’s Degree,13,3095,6289,85.83,80.49,Canada,61.31,2,0.5963768837218502,2
Systems analyst,Entertainment,Decreasing,High,86141.56,High School,5,745,1470,67.71,73.39,UK,25.67,2,0.5963767364616379,2
"Teacher, secondary school",Education,Decreasing,Moderate,108386.84,Master’s Degree,15,485,5692,84.71,99.44,USA,39.93,2,0.5963123574098486,2
Fish farm manager,Healthcare,Increasing,Moderate,135278.96,PhD,15,127,2514,50.62,60.89,Germany,63.39,2,0.5963039958342768,2
"Education officer, museum",Retail,Increasing,Moderate,109603.48,Bachelor’s Degree,20,5541,7568,50.39,74.4,Canada,78.08,2,0.5962828410015901,2
IT trainer,Manufacturing,Increasing,High,30547.02,High School,13,5043,8569,31.24,5.06,China,78.63,2,0.596282400262953,0
"Restaurant manager, fast food",Entertainment,Increasing,Moderate,45988.58,PhD,20,6985,331,65.82,67.32,India,39.91,2,0.5962648494298849,2
Personal assistant,Finance,Decreasing,High,108287.48,Master’s Degree,7,611,6595,21.49,13.97,USA,26.44,2,0.5962636369482024,0
"Engineer, manufacturing systems",Retail,Increasing,Moderate,31245.2,Associate Degree,3,2340,8076,75.35,81.77,UK,64.43,2,0.5962587409797891,2
Multimedia specialist,IT,Increasing,Moderate,106756.49,Associate Degree,19,8853,4024,32.53,87.84,India,54.66,2,0.5962551254640295,2
Printmaker,Healthcare,Increasing,Low,53385.79,Bachelor’s Degree,20,7802,8293,32.34,92.28,Australia,46.27,2,0.5962419488570297,2
Quarry manager,IT,Increasing,High,127032.46,High School,13,8652,5093,12.84,87.34,UK,71.42,2,0.5962360342565457,2
Audiological scientist,IT,Increasing,Low,111918.86,Bachelor’s Degree,4,5358,4843,67.74,86.43,China,34.1,2,0.596157309487859,2
"Psychologist, forensic",Education,Increasing,Low,54808.84,PhD,9,5184,874,72.35,63.99,Australia,79.62,2,0.596083846417815,2
"Designer, multimedia",Entertainment,Decreasing,High,108065.43,High School,14,3776,1113,82.15,72.93,UK,56.08,2,0.5960504179911479,2
Secretary/administrator,Transportation,Decreasing,High,149833.46,Master’s Degree,5,8471,4693,26.43,60.32,Australia,69.53,2,0.5960414580482566,2
Operational investment banker,Entertainment,Decreasing,High,46823.9,High School,10,4002,5665,98.96,71.29,India,35.04,2,0.5960098189954551,2
Phytotherapist,Retail,Decreasing,Low,83266.88,Bachelor’s Degree,18,263,3472,48.45,77.97,China,29.9,2,0.5959853447037625,2
Further education lecturer,Education,Decreasing,Moderate,80764.85,Associate Degree,13,1827,3123,71.75,81.61,UK,66.04,2,0.5959793430664655,2
"Psychologist, clinical",Healthcare,Increasing,High,144895.79,PhD,13,7364,4408,49.61,92.45,Australia,23.71,2,0.5959749496205429,2
Licensed conveyancer,Education,Increasing,Low,34425.78,Associate Degree,16,2884,4243,71.22,24.42,India,73.03,2,0.5959391517260098,0
Restaurant manager,Finance,Increasing,High,147674.84,Bachelor’s Degree,12,9467,8235,71.59,1.68,China,45.24,2,0.5958970703926567,0
Child psychotherapist,IT,Decreasing,Moderate,140686.63,Master’s Degree,6,1283,301,16.25,66.26,Brazil,29.11,2,0.5958462213605014,2
"Engineer, structural",Education,Increasing,Low,102807.76,Associate Degree,13,7075,8930,1.04,71.12,Australia,69.7,2,0.5958131426153818,2
Landscape architect,Healthcare,Increasing,Low,116375.98,Master’s Degree,3,9806,1398,18.86,65.75,UK,46.06,2,0.5958043990351521,2
Outdoor activities/education manager,IT,Increasing,Low,95901.27,Bachelor’s Degree,16,8351,8702,53.62,72.89,Canada,21.04,2,0.5957946447087287,2
Stage manager,Manufacturing,Decreasing,Moderate,118533.7,PhD,19,5815,1459,14.32,79.32,Germany,49.74,2,0.5957894301210808,2
Operations geologist,Finance,Decreasing,Low,49716.53,Associate Degree,16,3296,7339,49.36,79.19,UK,58.98,2,0.5957584253355394,2
Architectural technologist,Education,Decreasing,High,61730.48,PhD,0,8688,5790,47.24,85.76,Canada,36.64,2,0.5957440085405341,2
"Loss adjuster, chartered",Retail,Decreasing,High,69628.96,PhD,3,5935,1234,63.81,18.92,Germany,50.32,2,0.5957131072384024,0
Oncologist,Manufacturing,Decreasing,Low,131578.05,Master’s Degree,14,6134,9883,37.49,93.55,India,26.11,2,0.5956916940015033,2
Chartered loss adjuster,Entertainment,Decreasing,Moderate,45153.41,PhD,9,9601,748,95.23,67.45,USA,51.86,2,0.5956900521824277,2
Quarry manager,Retail,Increasing,Low,94060.16,Associate Degree,8,3863,6016,26.6,73.03,UK,71.76,2,0.5956831237857542,2
"Chemist, analytical",Manufacturing,Increasing,Low,80548.1,Master’s Degree,10,1079,9497,21.74,67.83,UK,23.28,2,0.5956734660161901,2
Contractor,Retail,Decreasing,Low,72800.45,Associate Degree,1,432,8125,76.96,31.32,China,35.82,2,0.5956442122184228,1
Automotive engineer,Healthcare,Decreasing,Moderate,58472.55,PhD,5,5930,8950,89.42,60.43,Brazil,46.13,2,0.5956356855284115,2
Visual merchandiser,Transportation,Decreasing,Low,40258.97,PhD,2,8268,9303,10.61,68.86,Australia,70.0,2,0.5955494849450756,2
Chief Financial Officer,Finance,Increasing,Moderate,54848.16,Bachelor’s Degree,5,5119,7920,42.32,83.15,Brazil,23.47,2,0.5955351212292322,2
"Doctor, hospital",Healthcare,Increasing,Low,35462.37,Bachelor’s Degree,18,889,4880,46.33,83.75,Brazil,28.01,2,0.5955105753227883,2
Medical laboratory scientific officer,Finance,Increasing,Moderate,130686.78,Master’s Degree,6,445,7201,93.59,59.2,Germany,37.99,2,0.595460599386302,1
Licensed conveyancer,Transportation,Decreasing,High,52426.78,Associate Degree,19,7806,1302,56.82,86.74,Canada,26.32,2,0.5954149209474003,2
Risk analyst,IT,Increasing,Moderate,81967.64,Bachelor’s Degree,6,8630,5096,8.79,80.01,Australia,71.82,2,0.5953799610171291,2
Sports therapist,Healthcare,Decreasing,Low,59962.34,Associate Degree,5,7344,6858,63.59,83.58,Canada,79.74,2,0.5953562225349199,2
Technical author,Transportation,Increasing,Low,74976.7,PhD,9,6805,8708,54.31,48.3,Germany,59.53,2,0.5953492005228957,1
Arts development officer,IT,Increasing,Low,135765.7,Bachelor’s Degree,7,6759,2109,67.24,86.46,UK,75.92,2,0.5953012796703643,2
Dancer,Entertainment,Decreasing,Low,88700.77,Associate Degree,12,2785,9501,64.51,78.47,Brazil,34.46,2,0.5952943071408704,2
Passenger transport manager,Manufacturing,Increasing,Moderate,82258.99,High School,16,1746,8014,46.78,69.13,Canada,67.24,2,0.5952677593920591,2
"Therapist, drama",Healthcare,Increasing,High,105843.63,PhD,5,1279,5302,93.92,92.82,Germany,71.44,2,0.595250808751265,2
Medical illustrator,Healthcare,Increasing,High,109502.06,PhD,12,903,7438,7.56,72.52,India,63.75,2,0.5951840595120599,2
